"Timestamp","Name","Sensor value"
"08/13/2019 - 14:39","depth","0.07"
"08/13/2019 - 14:39","base_pressure","1009.85"
"08/13/2019 - 14:39","base_altitutde","28.5577"
"08/13/2019 - 14:39","base_humid","79.5564"
"08/13/2019 - 14:39","temp","25.13"
"08/13/2019 - 14:39","base_temp","25.1477"
"08/13/2019 - 14:39","pressure","1019.93"
"08/13/2019 - 14:40","depth","0.07"
"08/13/2019 - 14:40","base_pressure","1009.7"
"08/13/2019 - 14:40","base_altitutde","29.4349"
"08/13/2019 - 14:40","base_humid","78.8946"
"08/13/2019 - 14:40","temp","25.11"
"08/13/2019 - 14:40","base_temp","25.1629"
"08/13/2019 - 14:40","pressure","1019.80"
"08/13/2019 - 14:40","depth","0.07"
"08/13/2019 - 14:40","base_pressure","1009.68"
"08/13/2019 - 14:40","base_altitutde","29.6146"
"08/13/2019 - 14:40","base_humid","79.1584"
"08/13/2019 - 14:40","temp","25.11"
"08/13/2019 - 14:40","base_temp","25.173"
"08/13/2019 - 14:40","pressure","1019.78"
"08/13/2019 - 14:51","pressure","1019.48"
"08/13/2019 - 14:51","temp","25.06"
"08/13/2019 - 14:51","height","0.000976665"
"08/13/2019 - 14:51","base_temp","25.4779"
"08/13/2019 - 14:51","base_humid","78.3516"
"08/13/2019 - 14:51","base_pressure","1009.45"
"08/13/2019 - 14:51","base_altitutde","31.9187"
"08/13/2019 - 14:51","depth","0.07"
"08/13/2019 - 14:51","pressure","1019.52"
"08/13/2019 - 14:51","temp","25.06"
"08/13/2019 - 14:51","height","0.000982727"
"08/13/2019 - 14:51","base_temp","25.4779"
"08/13/2019 - 14:51","base_humid","78.6444"
"08/13/2019 - 14:51","base_pressure","1009.43"
"08/13/2019 - 14:51","base_altitutde","31.8235"
"08/13/2019 - 14:51","depth","0.07"
"08/13/2019 - 14:53","pressure","1019.52"
"08/13/2019 - 14:53","temp","25.06"
"08/13/2019 - 14:53","height","0.000981301"
"08/13/2019 - 14:53","base_temp","25.5086"
"08/13/2019 - 14:53","base_humid","78.4735"
"08/13/2019 - 14:53","base_pressure","1009.44"
"08/13/2019 - 14:53","base_altitutde","31.8341"
"08/13/2019 - 14:53","depth","0.07"
"08/13/2019 - 14:54","pressure","1019.49"
"08/13/2019 - 14:54","temp","25.07"
"08/13/2019 - 14:54","height","0.000980112"
"08/13/2019 - 14:54","base_temp","25.5033"
"08/13/2019 - 14:54","base_humid","78.4718"
"08/13/2019 - 14:54","base_pressure","1009.42"
"08/13/2019 - 14:54","base_altitutde","31.8235"
"08/13/2019 - 14:54","depth","0.07"
"08/13/2019 - 14:54","pressure","1019.44"
"08/13/2019 - 14:54","temp","25.07"
"08/13/2019 - 14:54","height","0.00097474"
"08/13/2019 - 14:54","base_temp","25.4982"
"08/13/2019 - 14:54","base_humid","78.4029"
"08/13/2019 - 14:54","base_pressure","1009.43"
"08/13/2019 - 14:54","base_altitutde","31.8235"
"08/13/2019 - 14:54","depth","0.07"
"08/13/2019 - 14:55","pressure","1019.53"
"08/13/2019 - 14:55","temp","25.07"
"08/13/2019 - 14:55","height","0.000982299"
"08/13/2019 - 14:55","base_temp","25.5086"
"08/13/2019 - 14:55","base_humid","78.6153"
"08/13/2019 - 14:55","base_pressure","1009.44"
"08/13/2019 - 14:55","base_altitutde","31.9187"
"08/13/2019 - 14:55","depth","0.07"
"08/13/2019 - 14:55","pressure","1019.45"
"08/13/2019 - 14:55","temp","25.07"
"08/13/2019 - 14:55","height","0.000976"
"08/13/2019 - 14:55","base_temp","25.5033"
"08/13/2019 - 14:55","base_humid","78.6537"
"08/13/2019 - 14:55","base_pressure","1009.43"
"08/13/2019 - 14:55","base_altitutde","31.8235"
"08/13/2019 - 14:55","depth","0.07"
"08/13/2019 - 14:55","pressure","1019.53"
"08/13/2019 - 14:55","temp","25.07"
"08/13/2019 - 14:55","height","0.000982846"
"08/13/2019 - 14:55","base_temp","25.5086"
"08/13/2019 - 14:55","base_humid","78.402"
"08/13/2019 - 14:55","base_pressure","1009.44"
